time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1928-05-27T09:50:29.000Z,39.916,142.819,35,7.2,mw,,,,,iscgem,iscgem908698,2020-07-10T11:58:27.256Z,"80 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1928-06-01T13:12:21.000Z,39.492,143.422,20,6.3,mw,,,,,iscgem,iscgem908714,2015-05-13T18:52:42.000Z,"126 km E of Yamada, Japan",earthquake,,,,,automatic,iscgem,iscgem
1929-05-21T16:35:35.000Z,31.822,131.574,35,6.7,mw,,,,,iscgem,iscgem908087,2020-07-10T11:47:08.287Z,"18 km SE of Miyazaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1929-06-02T21:38:36.000Z,33.961,137.131,350.4,6.9,mw,,,,,iscgem,iscgem908115,2020-07-10T11:48:07.795Z,"63 km SSE of Toba, Japan",earthquake,,,,,automatic,iscgem,iscgem
1929-08-28T18:51:39.000Z,40.201,143.754,15,6.4,mw,,,,,iscgem,iscgem908286,2015-05-13T18:52:42.000Z,"166 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1930-11-10T13:35:26.000Z,36.417,141.4,30,7.7,mw,,,,,iscgemsup,iscgemsup907731,2020-07-10T14:04:52.840Z,"69 km ESE of Takahagi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1930-11-25T19:02:53.000Z,35.05,139.129,15,6.9,mw,,,,,iscgem,iscgem907761,2020-07-10T11:43:13.267Z,"8 km ESE of Atami, Japan",earthquake,,,,,automatic,iscgem,iscgem
1931-02-16T18:48:37.000Z,42.211,143.07,25,6.3,mw,,,,,iscgem,iscgem906631,2020-07-10T11:27:31.697Z,"59 km ESE of Shizunai-furukawach?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1931-03-09T03:49:00.000Z,40.572,142.398,35,7.8,mw,,,,,iscgem,iscgem906664,2020-07-10T11:28:20.826Z,"near the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1931-06-23T06:14:58.000Z,36.268,141.684,25,6.4,mw,,,,,iscgem,iscgem17248699,2015-05-13T18:52:43.000Z,"96 km NE of Hasaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1931-09-21T02:20:02.000Z,36.131,139.367,15,6.5,mw,,,,,iscgem,iscgem907024,2020-07-10T11:33:06.223Z,"2 km WSW of Kumagaya, Japan",earthquake,,,,,automatic,iscgem,iscgem
1931-11-02T10:03:04.000Z,31.899,132.009,35,7.5,mw,,,,,iscgem,iscgem907108,2020-07-10T11:35:30.177Z,"54 km ESE of Takanabe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1932-09-03T11:58:54.000Z,40.93,143.303,25,6.2,mw,,,,,iscgem,iscgem906356,2015-05-13T18:52:43.000Z,"159 km ENE of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
