time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1975-01-08T18:58:08.100Z,35.683,140.709,56,4.9,mb,,,,,us,usp00009ej,2014-11-06T23:21:28.305Z,"6 km SE of Asahi, Japan",earthquake,,,,,reviewed,us,us
1975-01-14T04:13:24.100Z,35.152,140.984,42,5,mb,,,,,us,usp00009gp,2014-11-06T23:21:28.387Z,"54 km ESE of ?hara, Japan",earthquake,,,,,reviewed,us,us
1975-01-20T17:31:10.600Z,34.992,141.188,28,5.9,mb,,,,,us,usp00009k0,2015-05-13T18:53:10.000Z,"77 km ESE of ?hara, Japan",earthquake,,,,,reviewed,us,us
1975-01-21T08:56:33.300Z,33.4,140.607,72,4.9,mb,,,,,us,usp00009k7,2014-11-06T23:21:28.487Z,"188 km SSE of Tateyama, Japan",earthquake,,,,,reviewed,us,us
1975-01-22T04:40:51.000Z,33.056,131.083,9,5,ms,,,,,us,usp00009kg,2014-11-06T23:21:28.498Z,"13 km N of Aso, Japan",earthquake,,,,,reviewed,us,us
1975-01-23T14:19:14.900Z,33.026,131.092,10,5.8,ms,,,,,us,usp00009mg,2020-08-26T00:07:27.180Z,"9 km N of Aso, Japan",earthquake,,,,,reviewed,us,us
1975-01-23T17:57:03.000Z,32.915,131.163,17,4.8,mb,,,,,us,usp00009mn,2014-11-06T23:21:28.541Z,"8 km ESE of Aso, Japan",earthquake,,,,,reviewed,us,us
1975-01-25T01:09:14.400Z,32.964,131.052,6,4.6,mb,,,,,us,usp00009ng,2014-11-06T23:21:28.574Z,"3 km NW of Aso, Japan",earthquake,,,,,reviewed,us,us
1975-01-27T10:17:47.700Z,36.143,141.439,33,4.8,mb,,,,,us,usp00009pw,2014-11-06T23:21:28.627Z,"71 km NE of Hasaki, Japan",earthquake,,,,,reviewed,us,us
1975-02-07T16:41:15.600Z,35.743,139.972,56,5.3,mb,,,,,us,usp00009u6,2014-11-06T23:21:28.773Z,"4 km NNW of Honch?, Japan",earthquake,,,,,reviewed,us,us
1975-02-20T19:45:39.000Z,34.283,141.024,49,4.6,mb,,,,,us,usp00009z9,2014-11-06T23:21:28.934Z,"115 km SE of Katsuura, Japan",earthquake,,,,,reviewed,us,us
1975-02-25T22:02:07.900Z,33.181,140.385,71,4.8,mb,,,,,us,usp0000a1f,2014-11-06T23:21:29.060Z,"205 km SSE of Tateyama, Japan",earthquake,,,,,reviewed,us,us
1975-03-06T21:54:40.000Z,33.943,140.812,33,4.6,mb,,,,,us,usp0000a4x,2014-11-06T23:21:29.248Z,"141 km SSE of Katsuura, Japan",earthquake,,,,,reviewed,us,us
1975-03-08T06:01:17.000Z,36.177,141.476,47,4.5,mb,,,,,us,usp0000a5h,2014-11-06T23:21:29.267Z,"76 km NE of Hasaki, Japan",earthquake,,,,,reviewed,us,us
1975-03-09T17:46:32.200Z,36.233,141.476,37,4.6,mb,,,,,us,usp0000a61,2014-11-06T23:21:29.285Z,"80 km NE of Hasaki, Japan",earthquake,,,,,reviewed,us,us
1975-03-12T13:08:28.200Z,36.214,141.074,40,4.5,mb,,,,,us,usp0000a6z,2014-11-06T23:21:29.322Z,"45 km ESE of ?arai, Japan",earthquake,,,,,reviewed,us,us
1975-03-14T13:56:16.500Z,35.292,136.819,57,4.9,mb,,,,,us,usp0000a7z,2020-08-26T00:12:09.527Z,"1 km ESE of Ichinomiya, Japan",earthquake,,,,,reviewed,us,us
1975-03-29T19:57:00.900Z,36.156,139.996,84,5.3,mb,,,,,us,usp0000ady,2014-11-06T23:21:29.554Z,"5 km NNE of Ishige, Japan",earthquake,,,,,reviewed,us,us
1975-04-02T08:44:00.400Z,33.597,140.374,71,5.6,mb,,,,,us,usp0000af4,2015-05-13T18:53:10.000Z,"160 km SSE of Tateyama, Japan",earthquake,,,,,reviewed,us,us
1975-04-11T22:15:48.100Z,36.108,139.899,65,5.1,mb,,,,,us,usp0000ak9,2014-11-06T23:21:29.729Z,"6 km W of Ishige, Japan",earthquake,,,,,reviewed,us,us
1975-04-12T01:02:09.700Z,33.398,140.86,63,4.5,mb,,,,,us,usp0000aka,2014-11-06T23:21:29.730Z,"198 km SSE of Tateyama, Japan",earthquake,,,,,reviewed,us,us
